stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"282","282","Traversa S.P. La Crucca Fr. civico 1","","40.7557","8.49398","","","","","",""
"283","283","S.V. Lu Saltu di Lu Marchesu civico 1","","40.7529","8.49257","","","","","",""
"284","284","V. Viziliu civico 6","","40.7507","8.49365","","","","","",""
"285","285","V. Viziliu civico 10","","40.7492","8.49007","","","","","",""
"286","286","V. Viziliu civico 34","","40.7476","8.487","","","","","",""
"287","287","S.V. Serra di Li Lioni civico 70","","40.7488","8.48295","","","","","",""
"288","288","S.V. Serra di Li Lioni Fr. civico 59","","40.7503","8.47913","","","","","",""
"289","289","S.V. Serra di Li Lioni civico 80","","40.752","8.47547","","","","","",""
"29","29","Via  Prati (Lato Coop. Ferrovieri)","","40.7386","8.56542","","","","","",""
"290","290","S.V. Maccia di La Faba civico 31","","40.7529","8.47613","","","","","",""
"291","291","V. Carlo Felice Civico 72","","40.7107","8.59307","","","","","",""
